issue_key,issuetype,created,reporter,sp_estimator,reporter_bugnum,reporter_recent_bugnum,reporter_stable_sp_rate,assignee_bugnum,assignee_recent_bugnum,assignee_stable_sp_rate
MESOS-9729,Bug,2019-04-12T20:57:43.000+0000,chhsia0,chhsia0,101,14,0.754901961,109,13,0.736363636
MESOS-9727,Bug,2019-04-11T00:07:54.000+0000,kaysoky,kaysoky,67,1,0.955882353,73,3,0.945945946
MESOS-9719,Bug,2019-04-10T03:34:15.000+0000,chhsia0,chhsia0,100,14,0.754901961,108,13,0.736363636
MESOS-9712,Bug,2019-04-09T14:38:20.000+0000,nfnt,nfnt,35,0,0.888888889,63,3,0.984375
MESOS-9711,Bug,2019-04-09T11:48:45.000+0000,bbannier,bbannier,59,6,0.966666667,107,13,0.736363636
MESOS-9699,Task,2019-04-04T15:50:22.000+0000,asekretenko,asekretenko,0,0,1,1,0,1
MESOS-9696,Bug,2019-04-03T08:36:09.000+0000,bbannier,bbannier,58,5,0.966666667,36,1,0.945945946
MESOS-9694,Task,2019-04-02T01:20:50.000+0000,gilbert,gilbert,61,6,0.951612903,62,2,0.952380952
MESOS-9692,Bug,2019-03-29T18:29:43.000+0000,mzhu,mzhu,25,8,0.884615385,22,4,0.869565217
MESOS-9691,Bug,2019-03-28T22:53:01.000+0000,mzhu,mzhu,24,7,0.884615385,0,0,0
MESOS-9688,Bug,2019-03-28T22:31:05.000+0000,mzhu,mzhu,23,6,0.884615385,0,0,0
MESOS-9676,Task,2019-03-24T04:29:14.000+0000,gilbert,gilbert,60,5,0.951612903,0,0,0
MESOS-9667,Bug,2019-03-21T17:03:31.000+0000,bbannier,bbannier,57,4,0.966666667,62,2,0.984375
MESOS-9661,Bug,2019-03-18T18:12:53.000+0000,chhsia0,chhsia0,99,14,0.754901961,106,14,0.736363636
MESOS-9655,Improvement,2019-03-15T03:41:39.000+0000,chhsia0,chhsia0,98,14,0.754901961,0,0,0
MESOS-9651,Task,2019-03-13T15:31:05.000+0000,gilbert,gilbert,59,4,0.951612903,0,0,0
MESOS-9648,Task,2019-03-11T22:13:31.000+0000,greggomann,greggomann,84,7,0.941176471,69,3,0.928571429
MESOS-9643,Improvement,2019-03-11T14:58:35.000+0000,qianzhang,qianzhang,23,1,0.875,38,3,0.846153846
MESOS-9639,Task,2019-03-07T20:11:14.000+0000,chhsia0,chhsia0,97,15,0.754901961,105,15,0.736363636
MESOS-9637,Bug,2019-03-07T12:44:05.000+0000,bbannier,bbannier,56,5,0.966666667,61,3,0.984375
MESOS-9635,Bug,2019-03-06T20:04:07.000+0000,bennoe,bennoe,8,1,0.888888889,4,0,0.6
MESOS-9632,Task,2019-03-04T23:35:23.000+0000,chhsia0,chhsia0,96,14,0.754901961,104,14,0.736363636
MESOS-9626,Task,2019-03-01T19:40:12.000+0000,chhsia0,chhsia0,95,13,0.754901961,0,0,0
MESOS-9625,Task,2019-03-01T19:36:34.000+0000,chhsia0,chhsia0,94,12,0.754901961,103,13,0.736363636
MESOS-9624,Task,2019-03-01T19:31:18.000+0000,chhsia0,chhsia0,93,11,0.754901961,0,0,0
MESOS-9623,Task,2019-03-01T19:27:40.000+0000,chhsia0,chhsia0,92,10,0.754901961,0,0,0
MESOS-9622,Task,2019-03-01T19:25:37.000+0000,chhsia0,chhsia0,91,9,0.754901961,102,12,0.736363636
MESOS-9621,Bug,2019-03-01T09:11:45.000+0000,spacelg,spacelg,0,0,1,37,2,0.846153846
MESOS-9620,Task,2019-03-01T07:37:33.000+0000,qianzhang,qianzhang,22,0,0.875,36,1,0.846153846
